ID;FacialHairCustomization1;FacialHairCustomization2;HairCustomization
1;NORMAL;PIERCINGS;NORMAL
2;NORMAL;PIERCINGS;NORMAL
3;NORMAL;PIERCINGS;NORMAL
4;NORMAL;MARKINGS;NORMAL
5;FEATURES;FEATURES;NORMAL
6;NORMAL;HAIR;HORNS
7;NORMAL;EARRINGS;NORMAL
8;TUSKS;TUSKS;NORMAL
9;EARS;EARS;NORMAL
10;NORMAL;EARRINGS;NORMAL
11;NORMAL;HORNS;NORMAL
12;NORMAL;NORMAL;NORMAL
13;Normal;Normal;Normal
14;Normal;Normal;Normal
15;Normal;Normal;Normal
16;Normal;Normal;Normal
17;Normal;Normal;Normal
18;TUSKS;TUSKS;Normal
19;Normal;Normal;Normal
20;Normal;Normal;Normal
21;Normal;Normal;Normal
22;NORMAL;EARS;NORMAL
23;NORMAL;PIERCINGS;NORMAL
24;NORMAL;EARRINGS;NORMAL
25;NORMAL;EARRINGS;NORMAL
26;NORMAL;EARRINGS;NORMAL
27;EARRINGS;EARRINGS;NORMAL
28;NORMAL;HAIR;HORNS
29;NORMAL;EARRINGS;NORMAL
30;NORMAL;HORNS;NORMAL
31;TUSKS;ACCESSORIES;NORMAL
32;NORMAL;EARRINGS;NORMAL
33;Normal;Normal;Normal
34;NORMAL;ACCESSORIES;NORMAL
35;EARS;EARS;NORMAL
36;NORMAL;ACCESSORIES;NORMAL
